Meketre URI,certain,Pleiades URI,
http://meketrevocab.meketre.org/MeketreVocab/a1.html,*,http://pleiades.stoa.org/places/727156,(pleiades location point a little off)
http://meketrevocab.meketre.org/MeketreVocab/a2.html,*,http://pleiades.stoa.org/places/727176,not positive if point is exact
http://meketrevocab.meketre.org/MeketreVocab/a3.html,*,http://pleiades.stoa.org/places/727165,
http://meketrevocab.meketre.org/MeketreVocab/a4.html,X,,
http://meketrevocab.meketre.org/MeketreVocab/a5.html,*,http://pleiades.stoa.org/places/796289136,
http://meketrevocab.meketre.org/MeketreVocab/a6.html,*,http://pleiades.stoa.org/places/737063,
http://meketrevocab.meketre.org/MeketreVocab/a7.html,X,not on pleiades yet.,
http://meketrevocab.meketre.org/MeketreVocab/a8.html,X,,
http://meketrevocab.meketre.org/MeketreVocab/a9.html,X,,
http://meketrevocab.meketre.org/MeketreVocab/a10.html,X,,
http://meketrevocab.meketre.org/MeketreVocab/a11.html,*,http://pleiades.stoa.org/places/736920,
http://meketrevocab.meketre.org/MeketreVocab/a12.html,*,http://pleiades.stoa.org/places/112509596,
http://meketrevocab.meketre.org/MeketreVocab/a13.html,*,http://pleiades.stoa.org/places/756554,Point could be cleared up
http://meketrevocab.meketre.org/MeketreVocab/a14.html,*,http://pleiades.stoa.org/places/756602,Point could be cleared up
http://meketrevocab.meketre.org/MeketreVocab/a15.html,*,http://pleiades.stoa.org/places/756593,
http://meketrevocab.meketre.org/MeketreVocab/a16.html,?,http://pleiades.stoa.org/places/756570,definitely near the same place can't find a source that sites them as the same
http://meketrevocab.meketre.org/MeketreVocab/a17.html,***,http://pleiades.stoa.org/places/756515,
http://meketrevocab.meketre.org/MeketreVocab/a18.html,-,http://pleiades.stoa.org/places/756561,nearby but not the same thing!
http://meketrevocab.meketre.org/MeketreVocab/a19.html,*,http://pleiades.stoa.org/places/756512,
http://meketrevocab.meketre.org/MeketreVocab/a20.html,*,http://pleiades.stoa.org/places/786127,
http://meketrevocab.meketre.org/MeketreVocab/a21.html,*,http://pleiades.stoa.org/places/786067,tricky though with multiple entries under Thebes in Pleiades
http://meketrevocab.meketre.org/MeketreVocab/a22.html,*,http://pleiades.stoa.org/places/786084,Same place but geo-point might be off
http://meketrevocab.meketre.org/MeketreVocab/a23.html,X,,
http://meketrevocab.meketre.org/MeketreVocab/a24.html,--,http://pleiades.stoa.org/places/786020,needs to be sorted out with el kab posted by me
http://meketrevocab.meketre.org/MeketreVocab/a25.html,*,http://pleiades.stoa.org/places/786037,
http://meketrevocab.meketre.org/MeketreVocab/a26.html,*,http://pleiades.stoa.org/places/785974,
http://meketrevocab.meketre.org/MeketreVocab/a27.html,*,http://pleiades.stoa.org/places/786079,
http://meketrevocab.meketre.org/MeketreVocab/a28.html,*,http://pleiades.stoa.org/places/979588215,
http://meketrevocab.meketre.org/MeketreVocab/a29.html,*,http://pleiades.stoa.org/places/776157,
http://meketrevocab.meketre.org/MeketreVocab/a30.html,*,http://pleiades.stoa.org/places/736963,
http://meketrevocab.meketre.org/MeketreVocab/a31.html,X,,